gre,gpa,rank
3.8,3.61,3
6.6,3.67,3
8,4,1
6.4,3.19,4
5.2,2.93,4
NaN,3,2
5.6,2.98,1
4,NaN,2
5.4,3.39,3
7,3.92,2
8,4,4
4.4,3.22,NaN
7.6,4,1
7,3.08,2
7,NaN,1
4.8,3.44,3
7.8,3.87,4
NaN,2.56,3
8,3.75,2
5.4,3.81,1
5,3.17,3
6.6,NaN,2
6,2.82,4
6.8,3.19,4
7.6,3.35,NaN
8,3.66,1
6.2,3.61,1
5.2,NaN,4
7.8,3.22,2
5.2,3.29,1
5.4,3.78,4
NaN,3.35,3
6,3.4,3
8,4,3
3.6,3.14,1
4,3.05,2
5.8,3.25,1
5.2,2.9,3
5,3.13,2
5.2,2.68,3
5.6,2.42,2
5.8,3.32,2
6,3.15,2
5,3.31,3
7,2.94,2
4.6,3.45,3
5.8,3.46,2
5,2.97,4
4.4,2.48,4
4,3.35,3
6.4,3.86,3
4.4,3.13,4
7.4,3.37,4
6.8,3.27,2
6.6,3.34,3
7.4,4,3
5.6,3.19,3
3.8,2.94,3
4,3.65,2
6,2.82,4
6.2,3.18,2
5.6,3.32,4
6.4,3.67,3
6.8,3.85,3
5.8,4,3
6,3.59,2
7.4,3.62,4
6.2,3.3,1
5.8,3.69,1
8,3.73,1
6.4,4,3
3,2.92,4
4.8,3.39,4
5.8,4,2
7.2,3.45,4
7.2,4,3
5.6,3.36,3
8,4,3
5.4,3.12,1
6.2,4,1
7,2.9,4
6.2,3.07,2
5,2.71,2
3.8,2.91,4
5,3.6,3
5.2,2.98,2
6,3.32,2
6,3.48,2
7,3.28,1
6.6,4,2
7,3.83,2
7.2,3.64,1
8,3.9,2
5.8,2.93,2
6.6,3.44,2
6.6,3.33,2
6.4,3.52,4
4.8,3.57,2
7,2.88,2
4,3.31,3
3.4,3.15,3
5.8,3.57,3
3.8,3.33,4
5.4,3.94,3
6.6,3.95,2
7.4,2.97,2
7,3.56,1
4.8,3.13,2
4,2.93,3
4.8,3.45,2
6.8,3.08,4
4.2,3.41,4
3.6,3,3
6,3.22,1
7.2,3.84,3
6.2,3.99,3
4.4,3.45,2
7,3.72,2
8,3.7,1
3.4,2.92,3
5.2,3.74,2
4.8,2.67,2
5.2,2.85,3
5,2.98,3
7.2,3.88,3
5.4,3.38,4
6,3.54,1
7.4,3.74,4
5.4,3.19,2
4.6,3.15,4
6.2,3.17,2
6.4,2.79,2
5.8,3.4,2
5,3.08,3
5.6,2.95,2
5,3.57,3
5.6,3.33,4
7,4,3
6.2,3.4,2
6,3.58,1
6.4,3.93,2
7,3.52,4
6.2,3.94,4
5.8,3.4,3
5.8,3.4,4
3.8,3.43,3
4.8,3.4,2
5.6,2.71,3
4.8,2.91,1
7.4,3.31,1
8,3.74,1
4,3.38,2
6.4,3.94,2
5.8,3.46,3
6.2,3.69,3
5.8,2.86,4
5.6,2.52,2
4.8,3.58,1
6.6,3.49,2
7,3.82,3
6,3.13,2
6.4,3.5,2
7,3.56,2
5.2,2.73,2
5.8,3.3,2
7,4,1
4.4,3.24,4
7.2,3.77,3
5,4,3
6,3.62,3
4,3.51,3
5.4,2.81,3
6.8,3.48,3
8,3.43,2
5,3.53,4
6.2,3.37,2
5.2,2.62,2
6.2,3.23,3
6.2,3.33,3
3,3.01,3
6.2,3.78,3
5,3.88,4
7,4,2
5.4,3.84,2
5,2.79,4
8,3.6,2
5.6,3.61,3
5.8,2.88,2
5.6,3.07,2
5,3.35,2
6.4,2.94,2
8,3.54,3
6.4,3.76,3
3.8,3.59,4
6,3.47,2
5.6,3.59,2
6.6,3.07,3
4,3.23,4
6,3.63,3
5.8,3.77,4
8,3.31,3
5.8,3.2,2
7,4,1
4.2,3.92,4
6,3.89,1
7.8,3.8,3
7.4,3.54,1
6.4,3.63,1
5.4,3.16,3
5.8,3.5,2
7.4,3.34,4
5.8,3.02,2
4.6,2.87,2
6.4,3.38,3
6,3.56,2
6.6,2.91,3
3.4,2.9,1
4.6,3.64,1
4.6,2.98,1
5.6,3.59,2
5.4,3.28,3
6.8,3.99,3
4.8,3.02,1
8,3.47,3
8,2.9,2
7.2,3.5,3
6.2,3.58,2
5.4,3.02,4
4.8,3.43,2
7.2,3.42,2
5.8,3.29,4
6,3.28,3
3.8,3.38,2
4.2,2.67,3
8,3.53,1
6.2,3.05,2
6.6,3.49,2
4.8,4,2
5,2.86,4
7,3.45,3
4.4,2.76,2
5.2,3.81,1
6.8,2.96,3
6.2,3.22,2
5.4,3.04,1
8,3.91,3
6.8,3.34,2
4.4,3.17,2
6.8,3.64,3
6.4,3.73,3
6.6,3.31,4
6.2,3.21,4
5.2,4,2
5.4,3.55,4
7.4,3.52,4
6.4,3.35,3
5.2,3.3,2
6.2,3.95,3
5.2,3.51,2
6.4,3.81,2
6.8,3.11,2
4.4,3.15,2
5.2,3.19,3
6.2,3.95,3
5.2,3.9,3
3.8,3.34,3
5.6,3.24,4
6,3.64,3
6.8,3.46,2
5,2.81,3
6.4,3.95,2
5.4,3.33,3
6.8,3.67,2
6.6,3.32,1
5.2,3.12,2
6,2.98,2
4.6,3.77,3
5.8,3.58,1
6.8,3,4
6.6,3.14,2
6.6,3.94,2
3.6,3.27,3
6.6,3.45,4
5.2,3.1,4
4.4,3.39,2
6,3.31,4
8,3.22,1
6.6,3.7,4
8,3.15,4
4.2,2.26,4
6.2,3.45,2
8,2.78,2
6.8,3.7,2
8,3.97,1
4.8,2.55,1
5.2,3.25,3
5.6,3.16,1
4.6,3.07,2
5.4,3.5,2
7.2,3.4,3
6.4,3.3,2
6.6,3.6,3
4,3.15,2
6.8,3.98,2
2.2,2.83,3
5.8,3.46,4
5.4,3.17,1
5.8,3.51,2
5.4,3.13,2
4.4,2.98,3
5.6,4,3
6.6,3.67,2
6.6,3.77,3
5.2,3.65,4
5.4,3.46,4
3,2.84,2
3.4,3,2
7.8,3.63,4
4.8,3.71,4
5.4,3.28,1
4.6,3.14,3
4.6,3.58,2
5,3.01,4
4.2,2.69,2
5.2,2.7,3
6.8,3.9,1
6.8,3.31,2
5.6,3.48,2
5.8,3.34,2
5,2.93,4
7.4,4,3
6.6,3.59,3
4.2,2.96,1
5.6,3.43,3
4.6,3.64,3
6.2,3.71,1
5.2,3.15,3
6.2,3.09,4
5.4,3.2,1
6.6,3.47,3
5,3.23,4
5.6,2.65,3
5,3.95,4
5.8,3.06,2
5.2,3.35,3
5,3.03,3
6,3.35,2
5.8,3.8,2
4,3.36,2
6.2,2.85,2
7.8,4,2
6.2,3.43,3
5.8,3.12,3
7,3.52,2
5.4,3.78,2
7.6,2.81,1
7,3.27,2
7.2,3.31,1
5.6,3.69,3
7.2,3.94,3
5.2,4,1
5.4,3.49,1
6.8,3.14,2
4.6,3.44,2
5.6,3.36,1
4.8,2.78,3
4.6,2.93,3
6.2,3.63,3
5.8,4,1
8,3.89,2
5.4,3.77,2
6.8,3.76,3
6.8,2.42,1
6.2,3.37,1
5.6,3.78,2
5.6,3.49,4
6.2,3.63,2
8,4,2
6.4,3.12,3
5.4,2.7,2
7,3.65,2
5.4,3.49,2
5.4,3.51,2
6.6,4,1
4.8,2.62,2
4.2,3.02,1
7.4,3.86,2
5.8,3.36,2
6.4,3.17,2
6.4,3.51,2
8,3.05,2
6.6,3.88,2
6,3.38,3
6.2,3.75,2
4.6,3.99,3
6.2,4,2
5.6,3.04,3
4.6,2.63,2
7,3.65,2
6,3.89,3
